order_size,slippage
1,3.4103053435113974e-11
2,3.437022900763306e-11
3,3.456106870228941e-11
4,3.4666030534350595e-11
5,3.47977099236636e-11
6,3.501908396946492e-11
7,3.526444929116647e-11
8,3.5472328244274165e-11
9,3.5642493638676275e-11
10,3.578244274809108e-11
11,3.5980222068007895e-11
12,3.6173664122136595e-11
13,3.634321785085067e-11
14,3.649672846237699e-11
15,3.6637404580152315e-11
16,3.677242366412152e-11
17,3.690053884149024e-11
18,3.7041984732823923e-11
19,3.7172559260746745e-11
20,3.729770992366378e-11
21,3.743820428934872e-11
22,3.7574600971547145e-11
23,3.7709093926318756e-11
24,3.784987277353629e-11
25,3.7980916030533524e-11
26,3.8104815032295144e-11
27,3.82435679954758e-11
28,3.837649945474333e-11
29,3.851079231376621e-11
30,3.8636132315521206e-11
31,3.876692932775147e-11
32,3.889670801526667e-11
33,3.903250057830153e-11
34,3.916591827570656e-11
35,3.930043620501577e-11
36,3.943490245971102e-11
37,3.956725809779175e-11
38,3.96936520691036e-11
39,3.981943628890184e-11
40,3.993893129770932e-11
41,4.0062837460435236e-11
42,4.019174845510627e-11
43,4.031998934848144e-11
44,4.044326856349733e-11
45,4.0563613231551523e-11
46,4.068204447394558e-11
47,4.0801120675653426e-11
48,4.091841603053356e-11
49,4.1034039570025836e-11
50,4.1151908396945957e-11
51,4.127263882652257e-11
52,4.1393863769817226e-11
53,4.1512674636323885e-11
54,4.1629205541418626e-11
55,4.174288688410783e-11
56,4.185318974918178e-11
57,4.196096156421551e-11
58,4.2065017109765273e-11
59,4.217007374822073e-11
60,4.227162849872732e-11
61,4.236985358528303e-11
62,4.2466141344496335e-11
63,4.256118987034961e-11
64,4.2662213740457617e-11
65,4.2766001174397497e-11
66,4.286780013879212e-11
67,4.296769966959038e-11
68,4.306634485855351e-11
69,4.316268392521229e-11
70,4.325681570338003e-11
71,4.3349908611976615e-11
72,4.3442536047497096e-11
73,4.353314859353701e-11
74,4.362182793480434e-11
75,4.3715267175572006e-11
76,4.3808256327841924e-11
77,4.389932586497431e-11
78,4.3990506948522156e-11
79,4.407986278867488e-11
80,4.4168416030533935e-11
81,4.4255725190839283e-11
82,4.434509402345912e-11
83,4.4433229099604176e-11
84,4.4521537622682385e-11
85,4.4610462505613035e-11
86,4.4698650807739206e-11
87,4.478481179257634e-11
88,4.486901457321294e-11
89,4.495389827600977e-11
90,4.503816793893092e-11
91,4.5122682660850404e-11
92,4.5205360106206057e-11
93,4.528625954198471e-11
94,4.536909209030362e-11
95,4.5451386098833854e-11
96,4.553276081424902e-11
97,4.5612457700479815e-11
98,4.5690528119644535e-11
99,4.577010563651748e-11
100,4.584809160305326e-11
101,4.5949852618849274e-11
102,4.6056728034725086e-11
103,4.616819832505711e-11
104,4.627752495595962e-11
105,4.638731370410715e-11
106,4.649755149070964e-11
107,4.6607869016194386e-11
108,4.672003109980165e-11
109,4.683013516352665e-11
110,4.6940319222761476e-11
111,4.705573894505188e-11
112,4.7173187022900923e-11
113,4.729294737553177e-11
114,4.741261550823574e-11
115,4.753252572187146e-11
116,4.765234272176869e-11
117,4.777206889802299e-11
118,4.789138310260011e-11
119,4.801350311116813e-11
120,4.8135496183205725e-11
121,4.825957352848388e-11
122,4.838912526592405e-11
123,4.85178117048345e-11
124,4.8645038167938654e-11
125,4.8770839694656426e-11
126,4.8897370653095406e-11
127,4.902581595239496e-11
128,4.9152850667938435e-11
129,4.927880347949586e-11
130,4.9404580152671627e-11
131,4.953309830429408e-11
132,4.9659958362248163e-11
133,4.978749354301777e-11
134,4.9914834225817106e-11
135,5.0041136556403445e-11
136,5.016726537943412e-11
137,5.029266729815557e-11
138,5.041652837703259e-11
139,5.0540254819045335e-11
140,5.066303162486355e-11
141,5.078596177792204e-11
142,5.090877325018798e-11
143,5.102986707948521e-11
144,5.1150869380831023e-11
145,5.1275204001052717e-11
146,5.139992680121302e-11
147,5.152425092174248e-11
148,5.16471528780688e-11
149,5.1770454429017686e-11
150,5.1893384223917756e-11
151,5.2017719023304625e-11
152,5.214066894335028e-11
153,5.2264007384124274e-11
154,5.238623971448387e-11
155,5.250689485348397e-11
156,5.2626737130553794e-11
157,5.2746025185977174e-11
158,5.2864769542951084e-11
159,5.298226031014386e-11
160,5.30997137404577e-11
161,5.3217841733441144e-11
162,5.333498256526217e-11
163,5.3451622722802187e-11
164,5.356986594675085e-11
165,5.3688295165394417e-11
166,5.381012600018417e-11
167,5.393072633359196e-11
168,5.4049890948745536e-11
169,5.4167871177559357e-11
170,5.428468792096955e-11
171,5.440504888174585e-11
172,5.4524454109710285e-11
173,5.464292017826343e-11
174,5.476046327980979e-11
175,5.4877753544165545e-11
176,5.499653018736959e-11
177,5.511461163583033e-11
178,5.5233510592675254e-11
179,5.535363981406425e-11
180,5.5473282442747826e-11
181,5.5593922651933354e-11
182,5.571533428403643e-11
183,5.5835627581028135e-11
184,5.595876203119756e-11
185,5.6080771611306074e-11
186,5.6202084872362825e-11
187,5.632312119851433e-11
188,5.644307292512538e-11
189,5.6561957268064216e-11
190,5.6680795500200445e-11
191,5.6798988849366085e-11
192,5.6915951017811555e-11
193,5.7033480995134855e-11
194,5.71505862910205e-11
195,5.7267664905069266e-11
196,5.7383548839382754e-11
197,5.749825628705336e-11
198,5.7612576143109945e-11
199,5.772651425064202e-11
200,5.783950381679357e-11
