order_size,slippage
1,3.410305343511468e-11
2,3.469465648854976e-11
3,3.490458015267183e-11
4,3.5066793893130034e-11
5,3.525572519083961e-11
6,3.584605597964382e-11
7,3.6333151581243637e-11
8,3.674618320610704e-11
9,3.714376590330815e-11
10,3.7473282442748e-11
11,3.7770645385149136e-11
12,3.804389312977102e-11
13,3.828391074574327e-11
14,3.850327153762322e-11
15,3.870610687022887e-11
16,3.8902671755725404e-11
17,3.911203412662787e-11
18,3.930237489397821e-11
19,3.947267979108098e-11
20,3.963167938931306e-11
21,3.980279898218863e-11
22,3.997571131158922e-11
23,4.014354463989372e-11
24,4.029898218829541e-11
25,4.044809160305361e-11
26,4.058573106283057e-11
27,4.071882951653943e-11
28,4.084514721919333e-11
29,4.096801789944765e-11
30,4.1086513994911076e-11
31,4.120352130017233e-11
32,4.131321564885514e-11
33,4.142320148045343e-11
34,4.153120790300882e-11
35,4.163304252998916e-11
36,4.1735581000848394e-11
37,4.185630286775361e-11
38,4.1978706307754294e-11
39,4.2103640634175494e-11
40,4.22309160305346e-11
41,4.2355706572333005e-11
42,4.2478189749182166e-11
43,4.2595863660571706e-11
44,4.271339347675244e-11
45,4.283078880407139e-11
46,4.295801526717576e-11
47,4.3083888257268296e-11
48,4.320928753180657e-11
49,4.3329568468609265e-11
50,4.344580152671801e-11
51,4.356121838048226e-11
52,4.367660011743989e-11
53,4.378762782658824e-11
54,4.390373197625096e-11
55,4.402047189451783e-11
56,4.413440567066543e-11
57,4.424501138342021e-11
58,4.436299026059492e-11
59,4.448020442489327e-11
60,4.4600508905852587e-11
61,4.471812038543381e-11
62,4.4832553558236875e-11
63,4.494577729310585e-11
64,4.5055462786259614e-11
65,4.5167645331767696e-11
66,4.5277585010409764e-11
67,4.5391648627093835e-11
68,4.550740907049884e-11
69,4.562147361433809e-11
70,4.5735005452562805e-11
71,4.584695194065179e-11
72,4.595790924512332e-11
73,4.606739516888017e-11
74,4.617443779657572e-11
75,4.6280661577608435e-11
76,4.63850944154283e-11
77,4.6493258649747934e-11
78,4.66020747700138e-11
79,4.6711518021065114e-11
80,4.6818225190839856e-11
81,4.692276882480504e-11
82,4.7028951778067656e-11
83,4.713395567000879e-11
84,4.7238276990185616e-11
85,4.7340592725640025e-11
86,4.744097283863009e-11
87,4.75478196016503e-11
88,4.765397293546176e-11
89,4.775816965434501e-11
90,4.786005089058577e-11
91,4.796430668568111e-11
92,4.8066296050448255e-11
93,4.816650250348867e-11
94,4.826538898814381e-11
95,4.836420249096052e-11
96,4.846135496183257e-11
97,4.855729125678786e-11
98,4.8653606480760844e-11
99,4.8751445755262816e-11
100,4.8847328244275366e-11
101,4.8990061219863004e-11
102,4.914084717856642e-11
103,4.92894463796049e-11
104,4.943849089841459e-11
105,4.9588695019992945e-11
106,4.975082817226035e-11
107,4.991742170221963e-11
108,5.008269720101837e-11
109,5.024984242594042e-11
110,5.0414295628036565e-11
111,5.057853655181972e-11
112,5.074938658669615e-11
113,5.091788826589255e-11
114,5.108410338824225e-11
115,5.124775970793305e-11
116,5.141385891024025e-11
117,5.158168591374739e-11
118,5.1747638763100775e-11
119,5.1911123227917566e-11
120,5.2074109414758635e-11
121,5.2236294240111634e-11
122,5.239613314979389e-11
123,5.2555545211941106e-11
124,5.2713309529672997e-11
125,5.286946564885544e-11
126,5.3023143099479597e-11
127,5.317470096772309e-11
128,5.332746898855009e-11
129,5.347875613941735e-11
130,5.3628009395185325e-11
131,5.377760620010547e-11
132,5.3925225537821685e-11
133,5.4072059920794704e-11
134,5.4218126922639076e-11
135,5.4366553576477875e-11
136,5.45130781320165e-11
137,5.466303560483674e-11
138,5.4811096360217507e-11
139,5.496553901916683e-11
140,5.511968375136342e-11
141,5.5273536895674934e-11
142,5.542549188259389e-11
143,5.557585544226793e-11
144,5.5724395674300885e-11
145,5.587378257436194e-11
146,5.602243019972853e-11
147,5.617165186685393e-11
148,5.631988859088138e-11
149,5.646946564885547e-11
150,5.6617048346056524e-11
151,5.6762929073353767e-11
152,5.6911410204902054e-11
153,5.7057950406626473e-11
154,5.720580945771856e-11
155,5.735323811869024e-11
156,5.750048933255082e-11
157,5.764829581368195e-11
158,5.779447289593244e-11
159,5.794049162225753e-11
160,5.808587786259625e-11
161,5.82349106253855e-11
162,5.838469512769809e-11
163,5.853592001124041e-11
164,5.868576615155508e-11
165,5.883541522091189e-11
166,5.898349121677588e-11
167,5.913047949901823e-11
168,5.927617230098183e-11
169,5.94217218483228e-11
170,5.955934961725804e-11
171,5.969648372629259e-11
172,5.983202325266308e-11
173,5.996687834379103e-11
174,6.010851890329322e-11
175,6.025006743110182e-11
176,6.039087490606912e-11
177,6.053116952648752e-11
178,6.067117436259484e-11
179,6.081025458498564e-11
180,6.0949485824413e-11
181,6.108823296006019e-11
182,6.122545540190914e-11
183,6.136180384885716e-11
184,6.149667024746838e-11
185,6.163007863095997e-11
186,6.176246292364983e-11
187,6.189383955480226e-11
188,6.202463064602531e-11
189,6.215484549160449e-11
190,6.228389053848862e-11
191,6.241218382475915e-11
192,6.254013467937476e-11
193,6.266675961839836e-11
194,6.279247262958587e-11
195,6.291767920863704e-11
196,6.304258184144579e-11
197,6.316737890251815e-11
198,6.329091538721662e-11
199,6.341321029920429e-11
200,6.353428226207203e-11
