order_size,slippage
1,2.974874371859328e-11
2,3.037688442211085e-11
3,3.103852596314935e-11
4,3.145728643216112e-11
5,3.1738693467337026e-11
6,3.1976549413735697e-11
7,3.214644651830607e-11
8,3.22927135678395e-11
9,3.241764377442799e-11
10,3.2532663316583193e-11
11,3.2649611694838164e-11
12,3.275544388609743e-11
13,3.285272516428337e-11
14,3.295046661880853e-11
15,3.303852596314945e-11
16,3.3143844221105685e-11
17,3.3242684008276735e-11
18,3.336962590731459e-11
19,3.349378471303902e-11
20,3.3620603015075724e-11
21,3.376166547020832e-11
22,3.400182731841055e-11
23,3.424076906270509e-11
24,3.446189279732022e-11
25,3.466934673366863e-11
26,3.4862775415539605e-11
27,3.5047459519821556e-11
28,3.5226130653266573e-11
29,3.53924796395774e-11
30,3.5566164154104364e-11
31,3.573188523261487e-11
32,3.58903894472364e-11
33,3.604690117252943e-11
34,3.6201596216376456e-11
35,3.63474515434317e-11
36,3.649637074260205e-11
37,3.664810539182421e-11
38,3.6794498809838915e-11
39,3.693467336683425e-11
40,3.707663316582952e-11
41,3.722882706214042e-11
42,3.737497008853828e-11
43,3.752483346967412e-11
44,3.7670169026952864e-11
45,3.780904522613103e-11
46,3.7946253004151404e-11
47,3.8079760504651094e-11
48,3.8207705192630186e-11
49,3.8331453184289046e-11
50,3.8451256281407486e-11
51,3.8589023549118135e-11
52,3.872729029764223e-11
53,3.886792452830227e-11
54,3.900521124139243e-11
55,3.914024668798593e-11
56,3.927225412778191e-11
57,3.940227453054794e-11
58,3.9533876277941713e-11
59,3.966101694915291e-11
60,3.978391959799054e-11
61,3.9905264025043514e-11
62,4.00235046198741e-11
63,4.013799154502692e-11
64,4.0248900753769065e-11
65,4.035639737147319e-11
66,4.046063651591311e-11
67,4.056176404410162e-11
68,4.06599172332252e-11
69,4.075595368145101e-11
70,4.0849964106245926e-11
71,4.094132635006065e-11
72,4.1030848687884184e-11
73,4.1117918358918265e-11
74,4.120331386663092e-11
75,4.128643216080425e-11
76,4.136868553292812e-11
77,4.144880245382786e-11
78,4.1527509341580273e-11
79,4.160740410915379e-11
80,4.1685301507537954e-11
81,4.1761895899249636e-11
82,4.183662213506603e-11
83,4.190954773869377e-11
84,4.198312993539141e-11
85,4.205557197753512e-11
86,4.2133925441159776e-11
87,4.2210477675735507e-11
88,4.228529008679821e-11
89,4.235842132008401e-11
90,4.2433835845896556e-11
91,4.251532387210801e-11
92,4.2596132838104143e-11
93,4.267520397687365e-11
94,4.275259275098939e-11
95,4.2828881248347165e-11
96,4.290462730318308e-11
97,4.2978811583692013e-11
98,4.3051481899292465e-11
99,4.312319171615715e-11
100,4.3194974874372104e-11
101,4.3286730683119037e-11
102,4.337767267711123e-11
103,4.346880031224092e-11
104,4.3562524159258116e-11
105,4.36621201244319e-11
106,4.376884422110591e-11
107,4.3874043112760253e-11
108,4.398055090266145e-11
109,4.408556544188865e-11
110,4.418912745545924e-11
111,4.4291728914844864e-11
112,4.439519023689879e-11
113,4.449859919064331e-11
114,4.460107555320476e-11
115,4.4705702425169556e-11
116,4.480982498700399e-11
117,4.491259717390391e-11
118,4.5013627459330856e-11
119,4.511295975676719e-11
120,4.521105527638213e-11
121,4.531458947630726e-11
122,4.54168382898099e-11
123,4.551742452097902e-11
124,4.5620035662182444e-11
125,4.572301507537706e-11
126,4.582475871420583e-11
127,4.5926087128556165e-11
128,4.6029365577889447e-11
129,4.6131432355576737e-11
130,4.623347506764619e-11
131,4.633817944685265e-11
132,4.6441297396071534e-11
133,4.654550950239958e-11
134,4.664854121353083e-11
135,4.6750046528941186e-11
136,4.685005911912527e-11
137,4.694934526647866e-11
138,4.7048284902774884e-11
139,4.715122374462265e-11
140,4.725305096913123e-11
141,4.7358066930396894e-11
142,4.7462311557789025e-11
143,4.756790947745759e-11
144,4.76720407593527e-11
145,4.7775082308092466e-11
146,4.787912163557546e-11
147,4.7981745462004055e-11
148,4.8082982479967556e-11
149,4.8183197868537555e-11
150,4.828207705192677e-11
151,4.83819761056943e-11
152,4.8480560698228387e-11
153,4.857884192202868e-11
154,4.8675846766299305e-11
155,4.877257254012014e-11
156,4.886838036335584e-11
157,4.89636078481585e-11
158,4.9057947967686837e-11
159,4.9151733510318815e-11
160,4.9244346733668533e-11
161,4.933580948219374e-11
162,4.942614306098429e-11
163,4.9517217991799393e-11
164,4.9607795072925824e-11
165,4.9697578803106876e-11
166,4.9787188956832393e-11
167,4.9876026840790984e-11
168,4.996380713089263e-11
169,5.005054860099329e-11
170,5.0136269583210534e-11
171,5.0222163448823435e-11
172,5.030705854855712e-11
173,5.039097220205088e-11
174,5.0473921330792373e-11
175,5.05564967695627e-11
176,5.063813385107396e-11
177,5.071970019589512e-11
178,5.080035006493186e-11
179,5.088009881811345e-11
180,5.095896147403718e-11
181,5.1037230350648656e-11
182,5.111657187034096e-11
183,5.1195320866628424e-11
184,5.1273213895565057e-11
185,5.135026483770251e-11
186,5.142702761117432e-11
187,5.1502969392416975e-11
188,5.157837057628606e-11
189,5.1653239743692265e-11
190,5.172758529489567e-11
191,5.1801678549817516e-11
192,5.187604690117287e-11
193,5.19499049652413e-11
194,5.202455576853372e-11
195,5.2098698621312035e-11
196,5.217234129832871e-11
197,5.2245491416473537e-11
198,5.231917161565436e-11
199,5.239286886694825e-11
200,5.2465829145728697e-11
