order_size,slippage
1,2.9748743718592644e-11
2,3.020100502512532e-11
3,3.0502512562813806e-11
4,3.067839195979873e-11
5,3.079396984924597e-11
6,3.0879396984924325e-11
7,3.097631012203847e-11
8,3.1074120603014766e-11
9,3.1161362367392285e-11
10,3.123618090452222e-11
11,3.1343079031520963e-11
12,3.143216080401989e-11
13,3.150753768844196e-11
14,3.1600861450107525e-11
15,3.168509212730258e-11
16,3.176821608040157e-11
17,3.185042861365618e-11
18,3.192350642099368e-11
19,3.2002115842369496e-11
20,3.207286432160763e-11
21,3.21536252692027e-11
22,3.222932846048387e-11
23,3.230500327725525e-11
24,3.2422529313232395e-11
25,3.253266331658239e-11
26,3.2634325473520973e-11
27,3.273217941559624e-11
28,3.28320172290016e-11
29,3.292843527984719e-11
30,3.301842546063607e-11
31,3.310747284811104e-11
32,3.3190954773868976e-11
33,3.3269377188974465e-11
34,3.334318652083887e-11
35,3.34127781765968e-11
36,3.3482691233947246e-11
37,3.354882520711635e-11
38,3.3611478444855214e-11
39,3.3677361164797896e-11
40,3.373994974874327e-11
41,3.3801936511827014e-11
42,3.386097152428741e-11
43,3.392076662381616e-11
44,3.397784376427552e-11
45,3.40368509212725e-11
46,3.4094384968319325e-11
47,3.4149470758045126e-11
48,3.4203308207704896e-11
49,3.427853553481655e-11
50,3.435175879396933e-11
51,3.4425066509015244e-11
52,3.44965210668721e-11
53,3.456622736323085e-11
54,3.463335194490922e-11
55,3.469803563270853e-11
56,3.4768485283560194e-11
57,3.483646301683778e-11
58,3.490296309131789e-11
59,3.4967208925985314e-11
60,3.5030988274706244e-11
61,3.509267649723952e-11
62,3.515237477711067e-11
63,3.521017787349393e-11
64,3.526617462311516e-11
65,3.5320448395824904e-11
66,3.5373077508755344e-11
67,3.542413560338973e-11
68,3.547590895654686e-11
69,3.552690991187766e-11
70,3.557645369705629e-11
71,3.562460188265218e-11
72,3.567420435510835e-11
73,3.572244785571649e-11
74,3.5771424691022074e-11
75,3.581909547738615e-11
76,3.5868817773075346e-11
77,3.591724858056484e-11
78,3.5965081819352534e-11
79,3.601170409006999e-11
80,3.605716080401944e-11
81,3.6101495129970463e-11
82,3.614474813089786e-11
83,3.6186958890839193e-11
84,3.622816463268676e-11
85,3.626958321016782e-11
86,3.6310038564917084e-11
87,3.6349563911511006e-11
88,3.6389333028779765e-11
89,3.642877307887717e-11
90,3.646733668341664e-11
91,3.650560494781541e-11
92,3.654304129342306e-11
93,3.658021289241857e-11
94,3.6617128194161955e-11
95,3.665326633165795e-11
96,3.668865159128919e-11
97,3.6723825312127e-11
98,3.67587939698487e-11
99,3.6793056190040483e-11
100,3.6826633165828605e-11
101,3.690681128414297e-11
102,3.698886589811752e-11
103,3.707030297116602e-11
104,3.715065713181223e-11
105,3.722948073701783e-11
106,3.731819474732106e-11
107,3.74146433100075e-11
108,3.750977107760984e-11
109,3.760453644368591e-11
110,3.7697578803105774e-11
111,3.779030286567925e-11
112,3.788137114142057e-11
113,3.7973051096188506e-11
114,3.806400423168437e-11
115,3.8154686475856795e-11
116,3.824423843354653e-11
117,3.8332689086457906e-11
118,3.842049229196774e-11
119,3.850724209281654e-11
120,3.859296482412014e-11
121,3.8680593047883795e-11
122,3.8767196638931736e-11
123,3.885320913510577e-11
124,3.893783433295472e-11
125,3.902231155778884e-11
126,3.910584669378584e-11
127,3.918925335338041e-11
128,3.927214195979882e-11
129,3.9354135016165766e-11
130,3.9435253189021706e-11
131,3.951590011124313e-11
132,3.9595325110399835e-11
133,3.967393357766237e-11
134,3.9752493812344815e-11
135,3.9831006886283e-11
136,3.9908734850723724e-11
137,3.998606169533741e-11
138,4.006263200058201e-11
139,4.0138100574815826e-11
140,4.0212849964106e-11
141,4.028760825403569e-11
142,4.036202137447745e-11
143,4.0435745159362676e-11
144,4.0508793969848794e-11
145,4.058187489169914e-11
146,4.0654298891718655e-11
147,4.0726421221754546e-11
148,4.07999456743171e-11
149,4.087248322147599e-11
150,4.0944053601339584e-11
151,4.1015341608705575e-11
152,4.108569161597409e-11
153,4.1156764213222375e-11
154,4.122691378972737e-11
155,4.129648241205994e-11
156,4.136548125241554e-11
157,4.143520148513204e-11
158,4.150499332103473e-11
159,4.1574223317846464e-11
160,4.164321608040168e-11
161,4.1712288148818245e-11
162,4.178050747564915e-11
163,4.184819804544153e-11
164,4.1915063120479854e-11
165,4.198111770976048e-11
166,4.204637646061581e-11
167,4.211145548099745e-11
168,4.21757597511361e-11
169,4.223930302399494e-11
170,4.2303281111439096e-11
171,4.2366804784153994e-11
172,4.242958980951229e-11
173,4.249164899642699e-11
174,4.255299485935381e-11
175,4.2613639626704404e-11
176,4.2673595248971626e-11
177,4.2732873406580443e-11
178,4.2792614759188723e-11
179,4.285225007720127e-11
180,4.2911222780568835e-11
181,4.296954385185561e-11
182,4.302722403224879e-11
183,4.308427382815684e-11
184,4.3140703517587244e-11
185,4.3196794784733976e-11
186,4.32525530880201e-11
187,4.3308252492408213e-11
188,4.336335934994095e-11
189,4.3418946584775175e-11
190,4.34750066120068e-11
191,4.353100581441218e-11
192,4.358694514237801e-11
193,4.364230478818898e-11
194,4.3697093716002126e-11
195,4.3751578404844336e-11
196,4.380550712747353e-11
197,4.385888835038063e-11
198,4.391173036901622e-11
199,4.396429383096342e-11
200,4.401658291457254e-11
