order_size,slippage
1,5.882936507936558e-12
2,5.892857142857194e-12
3,5.8961640211640655e-12
4,5.897817460317511e-12
5,5.898809523809572e-12
6,5.899470899470946e-12
7,5.902777777777637e-12
8,5.9052579365079885e-12
9,5.9071869488536685e-12
10,5.908730158730209e-12
11,5.909992784992838e-12
12,5.911044973545022e-12
13,5.911935286935299e-12
14,5.91269841269827e-12
15,5.913359788359746e-12
16,5.913938492063545e-12
17,5.914449112978577e-12
18,5.914902998236384e-12
19,5.915309106098631e-12
20,5.915674603174654e-12
21,5.916005291005345e-12
22,5.916305916305964e-12
23,5.917443064182246e-12
24,5.9184854497354964e-12
25,5.919444444444289e-12
26,5.920329670329683e-12
27,5.92114932392718e-12
28,5.921910430838866e-12
29,5.9226190476191984e-12
30,5.923280423280385e-12
31,5.923899129544342e-12
32,5.924479166666721e-12
33,5.925024050024106e-12
34,5.925536881419289e-12
35,5.92602040816332e-12
36,5.92647707231046e-12
37,5.926909051909108e-12
38,5.9273182957394056e-12
39,5.927706552706605e-12
40,5.9280753968254485e-12
41,5.928426248548254e-12
42,5.9287603930461625e-12
43,5.929078995939511e-12
44,5.92938311688317e-12
45,5.929673721340441e-12
46,5.929951690821311e-12
47,5.930217831813631e-12
48,5.930472883597936e-12
49,5.930717525105349e-12
50,5.930952380952218e-12
51,5.9311780267662784e-12
52,5.9313949938950015e-12
53,5.931603773584877e-12
54,5.9318048206937815e-12
55,5.93199855699876e-12
56,5.932185374149519e-12
57,5.932365636312999e-12
58,5.932539682539825e-12
59,5.932707828894305e-12
60,5.932870370370332e-12
61,5.933027582617839e-12
62,5.93349974398366e-12
63,5.933956916099808e-12
64,5.934399801587351e-12
65,5.934829059829111e-12
66,5.935245310245362e-12
67,5.93564913527605e-12
68,5.936041083099957e-12
69,5.9364216701173726e-12
70,5.936791383220006e-12
71,5.937150681869043e-12
72,5.93750000000005e-12
73,5.937839747771307e-12
74,5.938170313170361e-12
75,5.938492063492114e-12
76,5.9388053467001346e-12
77,5.9391104926819715e-12
78,5.93940781440786e-12
79,5.939697609001456e-12
80,5.939980158730208e-12
81,5.940255731922452e-12
82,5.940524583817319e-12
83,5.940786957353271e-12
84,5.941043083900278e-12
85,5.9412931839402935e-12
86,5.941537467700308e-12
87,5.941776135741703e-12
88,5.942009379509432e-12
89,5.942237381844169e-12
90,5.942460317460369e-12
91,5.942678353392687e-12
92,5.942891649413434e-12
93,5.9431003584229885e-12
94,5.9433046268153155e-12
95,5.94350459482044e-12
96,5.94370039682544e-12
97,5.9440967108493524e-12
98,5.944484936831939e-12
99,5.944865319865378e-12
100,5.945238095237936e-12
101,5.947371522866541e-12
102,5.9508247743542084e-12
103,5.954210972414941e-12
104,5.9575320512820434e-12
105,5.960789871504064e-12
106,5.963986223420164e-12
107,5.96712283044078e-12
108,5.970201352145867e-12
109,5.973223387214216e-12
110,5.976190476190678e-12
111,5.9794616044617534e-12
112,5.9826743197277544e-12
113,5.985830172777076e-12
114,5.9889306599832864e-12
115,5.991977225672844e-12
116,5.994971264367954e-12
117,5.998083706417066e-12
118,6.00114339521124e-12
119,6.00431839402441e-12
120,6.007440476190441e-12
121,6.010838908566184e-12
122,6.014181628935819e-12
123,6.017469996128567e-12
124,6.020705325140849e-12
125,6.024047619047708e-12
126,6.027336860670229e-12
127,6.030574303212151e-12
128,6.0337611607143434e-12
129,6.036898609573084e-12
130,6.039987789987849e-12
131,6.043029807342835e-12
132,6.046025733525771e-12
133,6.048976608187195e-12
134,6.051883439943194e-12
135,6.054747207525049e-12
136,6.0575688608777346e-12
137,6.060349322210692e-12
138,6.063089487002581e-12
139,6.065790224962948e-12
140,6.068452380952421e-12
141,6.0710767758640525e-12
142,6.073664207467075e-12
143,6.076215451215491e-12
144,6.078731261022976e-12
145,6.0812123700055225e-12
146,6.083659491193783e-12
147,6.086073318216234e-12
148,6.088454525954581e-12
149,6.090803771172942e-12
150,6.0931216931217274e-12
151,6.0954089141175775e-12
152,6.0976660401002955e-12
153,6.0998936611682245e-12
154,6.1020923520923926e-12
155,6.104262672811114e-12
156,6.106405168905209e-12
157,6.108520372055459e-12
158,6.110608800482262e-12
159,6.112670959369125e-12
160,6.114707341269885e-12
161,6.116718426501083e-12
162,6.118704683519534e-12
163,6.120666569286245e-12
164,6.122604529616766e-12
165,6.124518999519057e-12
166,6.126529929240821e-12
167,6.128516775971916e-12
168,6.130479969765725e-12
169,6.132419930496913e-12
170,6.134337068160641e-12
171,6.136347813979446e-12
172,6.138335179032892e-12
173,6.1402995687678276e-12
174,6.142241379310389e-12
175,6.144160997732477e-12
176,6.14605880230885e-12
177,6.147935162765717e-12
178,6.149790440520825e-12
179,6.151624988915539e-12
180,6.153439153439206e-12
181,6.155342892221396e-12
182,6.157225710797201e-12
183,6.1590879521207834e-12
184,6.1609299516908695e-12
185,6.16275203775208e-12
186,6.1645545314900544e-12
187,6.166337747220157e-12
188,6.168101992570127e-12
189,6.169847568657146e-12
190,6.171574770259021e-12
191,6.17328388598027e-12
192,6.174975198412738e-12
193,6.176648984291493e-12
194,6.1783055146457845e-12
195,6.17994505494497e-12
196,6.18156786524141e-12
197,6.183174200306112e-12
198,6.184764309764377e-12
199,6.186338438222879e-12
200,6.187896825396668e-12
