order_size,slippage
1,5.882936507936466e-12
2,5.892857142857102e-12
3,5.902777777777739e-12
4,5.907738095238052e-12
5,5.910714285714246e-12
6,5.919312169312127e-12
7,5.925453514739377e-12
8,5.932539682539635e-12
9,5.938051146384439e-12
10,5.942460317460274e-12
11,5.946067821067778e-12
12,5.9490740740740324e-12
13,5.951617826617887e-12
14,5.955215419501279e-12
15,5.958333333333341e-12
16,5.961061507936463e-12
17,5.963468720821623e-12
18,5.965608465608421e-12
19,5.967522974101881e-12
20,5.969246031745986e-12
21,5.970804988662089e-12
22,5.9722222222221795e-12
23,5.973516218081394e-12
24,5.9747023809523385e-12
25,5.975793650793802e-12
26,5.976800976801034e-12
27,5.977733686066945e-12
28,5.979308390022821e-12
29,5.980774493705362e-12
30,5.982142857142862e-12
31,5.983422939068064e-12
32,5.984623015872971e-12
33,5.986351611351572e-12
34,5.987978524743181e-12
35,5.989512471655281e-12
36,5.990961199294485e-12
37,5.992331617331568e-12
38,5.9936299081035485e-12
39,5.995879120879074e-12
40,5.998015873015834e-12
41,6.000048393341029e-12
42,6.0019841269840826e-12
43,6.003829826504199e-12
44,6.005591630591589e-12
45,6.0072751322750925e-12
46,6.0088854382332185e-12
47,6.01042722053356e-12
48,6.0119047619047185e-12
49,6.013321995464799e-12
50,6.014682539682683e-12
51,6.015989729225003e-12
52,6.0172466422467046e-12
53,6.018456124588178e-12
54,6.019620811287401e-12
55,6.0207431457429795e-12
56,6.021825396825545e-12
57,6.022869674185475e-12
58,6.023877941981235e-12
59,6.0248520312079025e-12
60,6.025793650793663e-12
61,6.026704397605922e-12
62,6.0275857654889575e-12
63,6.0284391534391395e-12
64,6.029265873015833e-12
65,6.03006715506712e-12
66,6.030844155844119e-12
67,6.031597962568063e-12
68,6.032329598506023e-12
69,6.033040027605206e-12
70,6.03373015873012e-12
71,6.034400849541653e-12
72,6.035052910052869e-12
73,6.035687105892542e-12
74,6.0363041613041146e-12
75,6.036904761904721e-12
76,6.037489557226367e-12
77,6.038059163059111e-12
78,6.038614163614118e-12
79,6.039155113522166e-12
80,6.039682539682501e-12
81,6.0401969429746815e-12
82,6.040698799845097e-12
83,6.041188563778878e-12
84,6.041666666666624e-12
85,6.042366946778665e-12
86,6.04305094130671e-12
87,6.043719211822613e-12
88,6.0443722943722465e-12
89,6.045010700909537e-12
90,6.045634920634876e-12
91,6.0464634571776974e-12
92,6.047273982056546e-12
93,6.048067076292846e-12
94,6.048843296183676e-12
95,6.049603174603132e-12
96,6.0503472222221865e-12
97,6.051075928653198e-12
98,6.051789763524401e-12
99,6.052489177489175e-12
100,6.05317460317475e-12
101,6.055418041804264e-12
102,6.05781201369434e-12
103,6.060159500693417e-12
104,6.0624618437118875e-12
105,6.064720332577577e-12
106,6.0669362084456015e-12
107,6.069110666073136e-12
108,6.071428571428491e-12
109,6.073703946410374e-12
110,6.0759379509377806e-12
111,6.0781317031316725e-12
112,6.080286281179273e-12
113,6.082402725101781e-12
114,6.084482038429405e-12
115,6.0865251897860756e-12
116,6.088533114395019e-12
117,6.090506715506691e-12
118,6.092615012106475e-12
119,6.094687875149937e-12
120,6.096726190476201e-12
121,6.098730814639897e-12
122,6.100702576112284e-12
123,6.1026422764227325e-12
124,6.1045506912441925e-12
125,6.106428571428484e-12
126,6.1082766439909165e-12
127,6.1100956130483136e-12
128,6.1118861607142285e-12
129,6.11364894795123e-12
130,6.115384615384566e-12
131,6.117093784078458e-12
132,6.118927368927322e-12
133,6.120733381071678e-12
134,6.1225124378108985e-12
135,6.124265138153976e-12
136,6.125992063492009e-12
137,6.12769377824118e-12
138,6.129370830457736e-12
139,6.131023752426568e-12
140,6.1326530612244466e-12
141,6.134259259259212e-12
142,6.1358428347864395e-12
143,6.137404262404217e-12
144,6.1389440035272916e-12
145,6.1404625068417535e-12
146,6.141960208740982e-12
147,6.143437533743603e-12
148,6.1448948948948506e-12
149,6.146332694151421e-12
150,6.147751322751277e-12
151,6.149151161568336e-12
152,6.15053258145358e-12
153,6.1518959435625616e-12
154,6.15324159967012e-12
155,6.154569892473064e-12
156,6.155881155881113e-12
157,6.157175715296686e-12
158,6.158453887884209e-12
159,6.159715982829142e-12
160,6.160962301587253e-12
161,6.162193138124766e-12
162,6.163408779149457e-12
163,6.164609504333381e-12
164,6.165795586527246e-12
165,6.166967291967238e-12
166,6.168244406196163e-12
167,6.1695062256438986e-12
168,6.170753023431549e-12
169,6.171985066215783e-12
170,6.1732026143790376e-12
171,6.17440592221289e-12
172,6.175595238095193e-12
173,6.176885494081975e-12
174,6.178160919540189e-12
175,6.179421768707443e-12
176,6.180781024530957e-12
177,6.182124921531656e-12
178,6.1834537185660196e-12
179,6.184767668706168e-12
180,6.186067019400299e-12
181,6.187352012628201e-12
182,6.188622885051407e-12
183,6.189879868158516e-12
184,6.191123188405742e-12
185,6.192353067353017e-12
186,6.1935697217954806e-12
187,6.1947733638909646e-12
188,6.195964201283309e-12
189,6.197142437221746e-12
190,6.1983082706766374e-12
191,6.19956577744531e-12
192,6.200810185185137e-12
193,6.2020416975079894e-12
194,6.203260513827454e-12
195,6.204466829466851e-12
196,6.205660835762821e-12
197,6.2068427201676264e-12
198,6.208012666345987e-12
199,6.2091708542713555e-12
200,6.210317460317599e-12
